Player,season,season_type,team,mp,raptor_total,war_total,predator_total,vorp_reg,vorp_post,G_y,post_mpg
Jeff Green,2022,RS,DEN,1849,-3.547839003399634,-0.7502970063320655,-4.292295397238041,-0.2,0.0,5,
Josh Green,2022,RS,DAL,1039,0.0038613873463773,1.468982859659989,-1.298267675688122,0.3,-0.1,16,
Tobias Harris,2022,RS,PHI,2543,-0.6824903645327984,2.648746646201109,-0.5542849526530458,1.3,0.6,12,
Jaxson Hayes,2022,RS,NOP,1398,-2.101776337613196,0.4624398666762705,-3.229082790622749,0.8,-0.1,6,
Tyler Herro,2022,RS,MIA,2151,1.387767015584435,4.549798901619969,1.492590894222055,1.5,0.1,15,
George Hill,2022,RS,MIL,1253,0.8035102187689912,2.247477278233045,-0.2487069325595336,0.1,-0.1,5,
Jrue Holiday,2022,RS,MIL,2207,5.539456785936428,9.344538931486673,5.233602828640247,2.9,0.4,12,
Al Horford,2022,RS,BOS,2005,3.742558520832445,6.599301018613295,3.380675053207507,3.2,1.7,23,
Kevin Huerter,2022,RS,ATL,2188,-0.3847650845117719,2.643598170044378,0.2415961536103747,0.4,0.0,5,
De'Andre Hunter,2022,RS,ATL,1577,-2.055760886873477,0.5597564105732646,-1.381410340034105,-0.8,0.2,5,
Bones Hyland,2022,RS,DEN,1310,1.112979356798562,2.579960192360328,0.5967831996055879,0.5,0.0,5,
Brandon Ingram,2022,RS,NOP,1869,0.2908072702237416,2.898980308284504,-0.4118205302437039,1.9,0.4,6,
Kyrie Irving,2022,RS,BRK,1091,4.101695184927001,3.827550587643714,5.391075398231707,1.4,0.2,4,
Jaren Jackson Jr.,2022,RS,MEM,2126,1.665189979308808,4.84034539168818,2.556884165906617,1.0,0.2,12,
Cameron Johnson,2022,RS,PHO,1730,2.952895109064723,5.046781741297476,2.577886294895935,2.1,0.2,13,
Herbert Jones,2022,RS,NOP,2335,1.285057032074142,4.820091826075378,1.75160752510288,0.9,0.1,6,
Tyus Jones,2022,RS,MEM,1549,1.270315816515829,3.132675837885989,0.6819010709189279,1.4,0.3,12,
Maxi Kleber,2022,RS,DAL,1450,0.0082881698154762,2.03180842423162,0.4468017483983555,0.6,0.5,18,
John Konchar,2022,RS,MEM,1292,1.147964898681553,2.556647526191886,1.463603119134124,1.2,0.0,8,
Furkan Korkmaz,2022,RS,PHI,1414,-2.060808963380163,0.4962926815955161,-2.895252033533514,-0.4,0.1,9,
Jonathan Kuminga,2022,RS,GSW,1185,-4.269979349525139,-0.9212150698404707,-3.52222585653548,0.1,0.0,16,
Zach LaVine,2022,RS,CHI,2328,0.1601569709805255,3.462441510659116,-0.0165695752197141,2.6,0.1,4,
Damion Lee,2022,RS,GSW,1256,-2.143606198882292,0.385904972055611,-1.544785801509245,0.0,-0.1,16,
Kevon Looney,2022,RS,GSW,1732,1.539444630282141,3.763678841248012,1.759633133657968,1.3,0.6,22,
Kyle Lowry,2022,RS,MIA,2133,2.962440568386711,6.278764503935711,3.816871616381863,2.1,0.0,10,
Caleb Martin,2022,RS,MIA,1372,2.535478246721449,3.690023806586709,2.66352649096446,1.1,0.0,17,
Wesley Matthews,2022,RS,MIL,1002,0.9547270276900616,1.891500781435414,-0.4389695264365958,-0.3,0.1,12,
Tyrese Maxey,2022,RS,PHI,2650,-0.2694697182474557,3.305337409663189,0.1575242286816982,1.8,0.5,12,
Jaden McDaniels,2022,RS,MIN,1803,-0.7724785160026346,1.828092453609378,-0.5541045257705386,-0.4,0.2,6,
JaVale McGee,2022,RS,PHO,1172,2.151195114809033,2.947282431602957,1.709036439656638,0.8,0.2,12,
De'Anthony Melton,2022,RS,MEM,1657,2.740744546734586,4.698058101517515,4.35327169432716,1.6,0.0,10,
Khris Middleton,2022,RS,MIL,2141,1.420662867480628,4.62914557366957,1.653166967846334,1.9,0.1,2,
Patty Mills,2022,RS,BRK,2346,-1.617044592688653,1.352454384317246,-0.7267223802545525,0.2,0.0,4,
Shake Milton,2022,RS,PHI,1179,-2.294599973668324,0.270766890200579,-2.518461896322612,-0.1,0.2,12,
Donovan Mitchell,2022,RS,UTA,2266,2.282031221353822,5.866864838292886,3.733734008408067,3.6,0.3,6,
Ja Morant,2022,RS,MEM,1889,3.061356164851036,5.64064168204246,4.049954393133703,3.9,0.9,9,
Monte Morris,2022,RS,DEN,2239,-0.2179524135004534,2.848452969768292,-0.5827119584231817,1.1,0.2,5,
Georges Niang,2022,RS,PHI,1736,-1.191611160020149,1.381092728155163,-1.222278856938307,0.0,0.0,12,
Jordan Nwora,2022,RS,MIL,1185,-5.504180491781334,-1.669190701785774,-5.718236632260226,-0.6,0.0,8,
Royce O'Neale,2022,RS,UTA,2406,1.492056009102559,5.204922934262945,2.006030112519849,1.7,0.1,6,
Chris Paul,2022,RS,PHO,2139,3.649609819662371,6.946298739498102,4.491146309588467,4.0,0.8,13,
Cameron Payne,2022,RS,PHO,1278,1.062302386033108,2.492496950243309,0.541433848619447,0.7,-0.3,13,
Gary Payton II,2022,RS,GSW,1247,5.208114348746127,5.064712440922664,6.252452317469883,1.8,0.5,12,
Jordan Poole,2022,RS,GSW,2283,0.884732347699912,4.255484858866599,1.59070417653249,1.7,0.7,22,
Otto Porter Jr.,2022,RS,GSW,1396,2.491111667737081,3.713579420618894,2.929202434442201,1.8,0.4,19,
Bobby Portis,2022,RS,MIL,2028,1.840138650369875,4.732941106101651,1.865299150344789,1.1,0.1,12,
Dwight Powell,2022,RS,DAL,1798,0.0447167722996956,2.546235419742688,0.2095217656568025,1.3,-0.2,18,
Taurean Prince,2022,RS,MIN,1177,-0.8478720008003595,1.152549608210373,-1.127138522416265,0.3,0.0,5,
Payton Pritchard,2022,RS,BOS,1001,1.119496030090674,1.954445291236193,-0.1315074426943487,1.0,0.3,24,
Naz Reid,2022,RS,MIN,1215,-2.034395964502195,0.4475941787965918,-1.964296254775636,0.6,0.0,5,
Austin Rivers,2022,RS,DEN,1480,-3.425410173086683,-0.506302648594815,-3.530415329428163,-0.7,0.0,5,
Duncan Robinson,2022,RS,MIA,2043,-0.5031711339400802,2.328074812105505,0.5756641838990908,0.7,0.2,13,
D'Angelo Russell,2022,RS,MIN,2077,1.757868633304595,4.814568927559065,2.642533181991514,1.4,0.0,6,
Landry Shamet,2022,RS,PHO,1437,-0.4512594706372718,1.685865659381136,-1.089360906450728,0.3,0.0,12,
Pascal Siakam,2022,RS,TOR,2578,1.924572288017311,6.100235421334038,3.401820435479617,3.6,0.3,6,
Marcus Smart,2022,RS,BOS,2296,3.229965087647611,7.100023006241686,4.092567261304478,1.5,0.4,21,
Max Strus,2022,RS,MIA,1587,1.58078884155848,3.499534174217545,1.754566259435617,1.2,0.3,18,
Jayson Tatum,2022,RS,BOS,2731,6.713713253807405,13.20385258300088,6.491703918820241,4.8,1.6,24,
Garrett Temple,2022,RS,NOP,1098,-3.537014712315274,-0.4405917558375871,-2.832186449111343,-0.1,0.0,1,
Cam Thomas,2022,RS,BRK,1176,-4.184546908826093,-0.857038016717802,-4.25320105607139,-0.4,0.0,1,
Matisse Thybulle,2022,RS,PHI,1685,1.96474352772135,4.05113280869807,3.258522249475694,1.3,0.1,9,
Karl-Anthony Towns,2022,RS,MIN,2476,2.042804619501934,6.127942942879148,2.439642058304981,4.4,0.1,6,
Gary Trent Jr.,2022,RS,TOR,2448,0.5422969799456194,4.125793285377974,2.103205537687872,1.3,0.0,6,
P.J. Tucker,2022,RS,MIA,1981,1.467937592556919,4.225937389830843,1.287098038612195,1.3,0.5,18,
Jarred Vanderbilt,2022,RS,MIN,1880,2.049711465445357,4.596264964487391,2.213458029099793,1.1,0.0,6,
Fred VanVleet,2022,RS,TOR,2462,4.725993809468235,9.394325327068906,6.282850699475954,3.5,0.2,4,
Gabe Vincent,2022,RS,MIA,1589,0.2459509626948508,2.424403718866972,0.947565885400804,0.2,0.2,18,
Coby White,2022,RS,CHI,1675,-1.939349665565704,0.6875080902437628,-1.537413504939293,0.0,-0.1,5,
Hassan Whiteside,2022,RS,UTA,1162,3.320517412626758,3.595337777756708,3.049321483906502,1.2,0.1,6,
Andrew Wiggins,2022,RS,GSW,2329,1.038326309151155,4.506061033232781,2.118393712360096,1.4,0.5,22,
Grant Williams,2022,RS,BOS,1875,-0.9576647186606464,1.707483070866506,-1.327830246276747,0.8,0.2,24,
Ziaire Williams,2022,RS,MEM,1346,-1.976036826942662,0.5349639675619463,-0.9238375376782176,-0.3,0.1,10,
Delon Wright,2022,RS,ATL,1452,1.636293951027601,3.200053400018408,1.286282533400669,1.6,0.2,5,
Trae Young,2022,RS,ATL,2652,4.417909040122736,9.903858115615288,3.863434344810066,4.8,-0.3,5,
Steven Adams,2022,PO,MEM,114,-0.6999076557054533,0.1229998445830231,-2.306823607290522,2.0,0.0,7,16.285714285714285
Bam Adebayo,2022,PO,MIA,614,4.085476026330555,2.1725891645721,3.393456226893255,2.7,0.8,18,34.111111111111114
Grayson Allen,2022,PO,MIL,305,-1.164075325917477,0.2564693813097944,-2.223211781327438,1.1,0.2,12,25.416666666666668
Kyle Anderson,2022,PO,MEM,221,-0.6671420908578332,0.2426631076342335,-1.151575485639173,1.2,0.3,12,18.416666666666668
Giannis Antetokounmpo,2022,PO,MIL,448,9.68516028384049,2.97414185900988,7.352283053194904,7.4,1.4,12,37.333333333333336
OG Anunoby,2022,PO,TOR,217,3.258637969584818,0.6815891328350326,1.188605953923852,1.1,0.1,6,36.166666666666664
Deandre Ayton,2022,PO,PHO,397,2.852963043431296,1.161723950688065,0.1674348060188096,2.1,0.6,13,30.53846153846154
Desmond Bane,2022,PO,MEM,428,8.238312782963469,2.474753914317881,7.505435290882422,2.7,0.6,12,35.666666666666664
