Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Eric Gordon,SG,34,LAC,5,149,9.2,0.547,0.659,0.136,0.7,5.0,2.7,12.0,1.0,1.0,7.9,14.3,0.1,-0.1,0.1,0.019,-0.9,-0.4,-1.3,0.0
Danny Green,SG,35,CLE,4,40,1.7,0.3,0.8,0.0,6.1,14.0,10.2,3.5,2.6,2.2,28.6,8.2,-0.1,0.1,0.0,-0.003,-7.8,3.1,-4.8,0.0
Draymond Green,PF,32,GSW,12,367,14.6,0.535,0.22,0.363,5.3,18.3,11.7,29.4,2.3,2.8,20.4,14.9,0.4,0.6,1.0,0.126,-1.2,4.1,2.8,0.5
JaMychal Green,PF,32,GSW,7,49,5.6,0.5,0.783,0.0,0.0,10.7,5.3,8.9,0.0,1.7,8.0,21.0,0.0,0.0,0.0,-0.004,-5.4,-0.7,-6.1,-0.1
Jeff Green,PF,36,DEN,20,343,6.8,0.583,0.452,0.306,2.1,8.2,5.3,5.1,0.7,1.8,11.3,10.4,0.2,0.3,0.6,0.078,-3.7,-0.1,-3.8,-0.2
Blake Griffin,C,33,BOS,1,6,-3.3,0.0,0.0,0.0,19.6,18.6,19.1,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,-0.054,-13.3,-4.9,-18.1,0.0
Quentin Grimes,SG,22,NYK,9,242,5.5,0.452,0.804,0.239,1.4,10.3,5.9,7.9,1.9,2.1,16.4,11.2,-0.2,0.4,0.2,0.04,-3.4,1.0,-2.4,0.0
Rui Hachimura,PF,24,LAL,16,388,16.0,0.668,0.298,0.26,2.6,12.7,7.9,3.9,1.0,0.9,6.4,17.7,0.8,0.4,1.2,0.146,1.3,0.9,2.2,0.4
James Harden,PG,33,PHI,11,427,18.5,0.538,0.448,0.301,1.6,17.4,9.3,36.2,2.5,1.0,14.5,26.2,0.5,0.5,1.0,0.111,3.0,1.1,4.1,0.6
Montrezl Harrell,C,29,PHI,2,7,-16.0,0.0,0.0,0.0,0.0,17.1,8.3,0.0,0.0,0.0,0.0,19.8,-0.1,0.0,-0.1,-0.461,-16.8,-8.1,-25.0,0.0
Joe Harris,SF,31,BRK,4,44,-5.4,0.252,0.923,0.154,0.0,12.8,6.5,0.0,2.4,0.0,17.8,18.9,-0.3,0.0,-0.2,-0.262,-13.1,-2.5,-15.6,-0.2
Tobias Harris,SF,30,PHI,11,392,16.1,0.597,0.306,0.112,4.9,19.2,11.9,7.9,0.9,1.7,5.4,17.5,0.7,0.4,1.1,0.131,1.0,0.3,1.4,0.3
Shaquille Harrison,SG,29,LAL,8,28,22.2,0.635,0.143,0.286,0.0,10.8,5.7,45.5,3.5,0.0,0.0,12.4,0.1,0.0,0.2,0.286,0.7,2.1,2.8,0.0
Josh Hart,SF,27,NYK,11,353,10.8,0.55,0.34,0.234,5.8,20.3,13.1,11.2,1.3,0.9,16.8,15.7,0.1,0.6,0.6,0.088,-1.9,0.9,-0.9,0.1
Isaiah Hartenstein,C,24,NYK,11,220,13.5,0.566,0.0,0.696,12.0,14.5,13.2,9.3,2.1,6.9,14.3,7.1,0.3,0.5,0.8,0.17,-1.4,3.9,2.5,0.2
Udonis Haslem,C,42,MIA,2,3,-36.0,0.0,0.333,0.0,0.0,38.8,19.0,0.0,0.0,0.0,0.0,45.0,-0.1,0.0,-0.1,-1.055,-33.2,-18.0,-51.1,0.0
Sam Hauser,SF,25,BOS,15,104,9.3,0.502,0.828,0.069,5.7,12.8,9.4,5.1,0.5,1.7,0.0,13.0,0.1,0.1,0.2,0.079,-1.2,-1.0,-2.2,0.0
Tyler Herro,SG,23,MIA,1,19,20.4,0.667,0.444,0.0,0.0,12.2,6.0,18.8,0.0,5.3,10.0,23.7,0.0,0.0,0.1,0.136,3.4,-0.6,2.8,0.0
Haywood Highsmith,PF,26,MIA,18,161,17.0,0.728,0.41,0.128,7.0,10.1,8.5,4.6,3.2,1.2,4.6,12.1,0.4,0.2,0.7,0.198,1.2,3.5,4.7,0.3
Aaron Holiday,PG,26,ATL,1,4,-4.9,,,,0.0,0.0,0.0,27.3,0.0,0.0,100.0,10.3,0.0,0.0,0.0,-0.273,-8.4,-3.3,-11.6,0.0
Jrue Holiday,PG,32,MIL,5,191,13.7,0.491,0.494,0.153,2.3,17.9,9.7,29.1,1.2,0.9,11.7,22.6,0.1,0.1,0.2,0.04,-0.2,-1.2,-1.4,0.0
